image_name,bio_name,exclude,info_quality_DZ,trial_type1,trial_type2,trial_type3,check_question,check_answer,participant_group
image/Adam_Frisch.jpeg,bio/Adam_Frisch.txt,0,medium,photo,dual,bio,Adam Frische was a currency trader for 10 years,1,1
image/Adam_Gray.jpeg,bio/Adam_Gray.txt,0,high,photo,dual,bio,Adam Gray does not support defunding general education,1,1
image/Adam_Withrow.jpeg,bio/Adam_Withrow.txt,0,low,photo,dual,bio,Adam Withrow studied Economics and Political Science in college,0,1
image/Alison_Esposito.png,bio/Alison_Esposito.txt,0,medium,photo,dual,bio,Alison Esposito served in the Los Angeles Police Department for 25 years,0,1
image/Amish_Shah.jpeg,bio/Amish_Shah.txt,0,high,photo,dual,bio,Amish Shah received a Doctor of Medicine degree at Northwestern's Feinberg School of Medicine,1,1
image/Andrea_Kirby.jpeg,bio/Andrea_Kirby.txt,0,low,photo,dual,bio,Andrea Kirby supports federal education standards for states,0,1
image/Andrea_Salinas.png,bio/Andrea_Salinas.txt,0,high,photo,dual,bio,"Andrea Salinas comes from a family with a strong artistic background. Her father is an art history professor at the University of California, Berkeley",0,1
image/Angie_Craig.jpeg,bio/Angie_Craig.txt,0,high,photo,dual,bio,Angie Craig was previously the Global Resources Leader at Saint Jude Medical and is currently the director at Saint Jude's Global Human Resources Group,1,1
image/Anthony_DEsposito.jpg,bio/Anthony_DEsposito.txt,0,high,bio,photo,dual,Anthony DEsposito was an elected member of the Washington House of Representatives from the 15th District ,0,1
image/Austin_Theriault.jpeg,bio/Austin_Theriault.txt,0,medium,bio,photo,dual,"Austin Theriault was born and raised in San Antonio, Texas",0,1
image/Brandon_Williams.jpg,bio/Brandon_Williams.txt,0,high,bio,photo,dual,"Brandon Williams co-founded the startup funding company, IgniteIP, and was the leader of the industrial process company, CPlane ",1,1
image/Brett_Smith.png,bio/Brett_Smith.txt,0,low,bio,photo,dual,Brett Smith lives in Kentucky in a town called Louisville,0,1
image/Carl_Marlinga.jpeg,bio/Carl_Marlinga.txt,0,low,bio,photo,dual,"Carl Marlinga lives in Jacksonville, Florida with his wife",0,1
image/Chris_Baum.jpeg,bio/Chris_Baum.txt,0,high,bio,photo,dual,"Chris Baum served in the U.S. Navy for 20 years, holding the position of supply officer",1,1
image/Chris_DeLuzio.png,bio/Chris_DeLuzio.txt,0,high,bio,photo,dual,"Chris DeLuzio studied philosophy, nutrition, and psychology in community college",0,1
image/Curtis_Hertel.jpeg,bio/Curtis_Hertel.txt,0,medium,bio,photo,dual,Curtis Hertel has a Bachelor of Science degree in Engineering from the University of San Francisco,0,1
image/Dan_Newhouse.jpg,bio/Dan_Newhouse.txt,0,high,dual,bio,photo,Dan Newhouse received his Agricultural Economics Bachelor degree from Washington State University,1,1
image/Dave_Min.jpeg,bio/Dave_Min.txt,0,high,dual,bio,photo,"Dave Min was previously an assistant philosophy professor at University of California, Irvine",0,1
image/David_Schweikert.jpeg,bio/David_Schweikert.txt,0,high,dual,bio,photo,David Schweikert grew up in Midwest in a single-mother household,0,1
image/David_Valadao.jpeg,bio/David_Valadao.txt,0,high,dual,bio,photo,"David Valadao went to University of California, Davis and graduate in 3 years with Bachlor degree of Agricultural Science",0,1
image/Derek_Merrin.jpg,bio/Derek_Merrin.txt,0,high,dual,bio,photo,Derek Merrin elected as state representative of Ohio House of Representatives twice,1,1
image/Derek_Tran.jpeg,bio/Derek_Tran.txt,0,medium,dual,bio,photo,Derek Tran got his Doctor degree from Glendale University College of Law,1,1
image/Derrick_Anderson.jpg,bio/Derrick_Anderson.txt,0,medium,dual,bio,photo,Derrick Anderson's favorite superhero is Iron Man,0,1
image/Derrick_Van_Orden.png,bio/Derrick_Van_Orden.txt,0,high,dual,bio,photo,Derrick Van Orden joined the Wisconsin's Police Department and was promoted as conmissioner in 2014,0,1
image/Diana_Merenda.jpeg,bio/Diana_Merenda.txt,0,low,photo,dual,bio,Diana Merenda worked as an economics professor in Baruch College for seven years,0,2
image/Dina_Titus.jpeg,bio/Dina_Titus.txt,0,high,photo,dual,bio,Dina Titus served as California Senate's Minority Leader from 1993 to 2009,0,2
image/Don_Bacon.jpeg,bio/Don_Bacon.txt,0,high,photo,dual,bio,"Don Bacon chose Life Science as undergraduate major, although he always has a passion in Political Science",0,2
image/Donald_Davis.jpg,bio/Donald_Davis.txt,0,high,photo,dual,bio,Donald Davis worked in the tobacco fields as a young man. He and his wife live in North Carolina,1,2
